Data Source,Time,Value
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:56:48,29013
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:58:48,29013
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:59:48,29011
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:00:48,28997
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:01:05,28997
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:01:48,28883
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:02:48,28981
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:03:48,28980
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:04:48,29217
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:05:48,28934
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:06:48,28902
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:07:48,29045
