Data Source,Time,Value
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 16:54:41.036011,9627
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 16:55:41.042023,9863
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 16:56:41.049011,9310
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 16:57:41.042023,9612
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 16:58:41.048004,9753
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 16:59:41.055008,9611
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:00:41.06102,9627
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:01:41.036011,9375
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:02:41.058029,9075
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:03:41.033005,8811
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:04:41.055008,8875
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:05:41.04602,8685
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:06:41.052002,8701
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:07:41.058029,8889
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:08:41.033005,8764
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:09:41.056015,8904
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:10:41.04602,9252
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:11:41.037002,9001
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:12:41.058029,9064
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:13:41.050003,8859
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:14:41.041016,8653
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:15:41.04602,8449
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:16:41.037002,8714
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:17:41.045028,9222
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:18:41.05101,8891
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:19:41.042023,8481
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:20:41.048004,8860
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:21:41.039001,9001
