Data Source,Time,Value
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:22:41.06102,8354
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:23:41.052002,8339
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:24:41.058029,8432
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:25:41.033005,8749
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:26:41.055008,8699
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:27:41.047028,8605
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:28:41.039001,8339
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:29:41.045028,8259
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:30:41.052002,8432
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:31:41.041016,8118
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:32:41.049011,8447
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:33:41.054001,8117
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:34:41.060028,8623
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:35:41.036011,8385
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:36:41.058029,8289
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:37:41.034012,8496
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:38:41.056015,8245
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:39:41.031021,8369
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:40:41.054001,8417
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:41:41.045028,7926
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:42:41.050003,7895
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:43:41.058029,8022
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:44:41.032028,8386
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:45:41.054001,8397
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:46:41.060028,8401
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:47:41.116012,8259
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:48:41.060028,7881
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:49:41.035003,8447
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:50:41.040008,8369
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:51:41.032028,7770
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:52:41.03801,8070
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:53:41.060028,7831
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:54:41.05101,8384
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:55:41.040008,8270
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:56:41.048004,8368
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:57:41.054001,8129
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:58:41.06102,8509
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 17:59:41.035003,8888
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:00:41.057022,8967
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:01:41.048004,8650
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:02:41.039001,8951
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:03:41.06102,8699
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:04:41.05101,8733
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:05:41.057022,8417
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:06:41.048004,8654
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:07:41.041016,8763
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:08:41.032028,8449
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:09:41.101013,8276
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:10:41.06102,8495
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:11:41.05101,8543
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:12:41.058029,8369
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:13:41.048004,8639
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:14:41.055008,7866
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:15:41.06102,7895
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:16:41.083008,7850
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:17:41.04303,8227
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:18:41.050003,7850
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:19:41.056015,7503
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:20:41.048004,7723
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:21:41.037002,7597
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:22:41.059021,7913
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:23:41.035003,8366
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:24:41.056015,8491
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:25:41.048004,8221
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:26:41.054001,7797
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:27:41.04602,8065
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:28:41.036011,7576
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:29:41.058029,7876
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:30:41.033005,8176
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:31:41.430008,8145
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:32:41.063004,8128
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:33:41.037002,8384
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:34:41.059021,8511
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:35:41.049011,8118
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:36:41.056015,8400
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:37:41.034012,8055
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:38:41.056015,8307
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:39:41.045028,8181
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:40:41.349014,7976
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:41:41.04303,7707
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:42:41.049011,7691
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:43:41.056015,7787
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:44:41.030029,7754
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:45:41.053009,7676
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:46:41.058029,7645
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:47:41.050003,7850
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:48:41.056015,7597
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:49:41.047028,7723
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:50:41.053009,7598
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:51:41.059021,7785
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:52:41.034012,7251
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:53:41.056015,7544
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:54:41.047028,7385
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:55:41.03801,7352
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:56:41.044022,7716
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:57:41.052002,7557
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:58:41.060028,7526
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 18:59:41.050003,7337
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:00:41.087021,7227
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:01:41.04602,7873
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:02:41.037002,7289
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:03:41.044022,7594
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:04:41.050003,7609
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:05:41.057022,7625
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:06:41.032028,7420
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:07:41.055008,7531
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:08:41.342026,7734
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:09:41.036011,7987
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:10:41.059021,8002
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:11:41.050003,7751
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:12:41.055008,7609
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:13:41.06102,7044
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:14:41.052002,7139
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:15:41.07402,7531
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:16:41.050003,7029
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:17:41.04303,7360
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:18:41.049011,6855
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:19:41.040008,6776
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:20:41.062027,6918
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:21:41.052002,6997
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:22:41.04303,7202
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:23:41.034012,7245
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:24:41.087021,6927
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:25:41.062027,7103
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:26:41.052002,6755
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:27:41.044022,7087
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:28:41.035003,6912
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:29:41.041016,6819
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:30:41.048004,6628
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:31:41.039001,6992
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:32:41.06102,7150
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:33:41.035003,6964
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:34:41.058029,6790
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:35:41.048004,6964
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:36:41.054001,7201
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:37:41.048004,7421
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:38:41.037002,6822
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:39:41.044022,6946
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:40:41.034012,7058
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:41:41.056015,7358
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:42:41.031021,7264
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:43:41.053009,7041
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:44:41.106018,7120
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:45:41.050003,6885
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:46:41.056015,6695
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:47:41.034012,7073
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:48:41.041016,6726
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:49:41.344024,6489
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:50:41.03801,6899
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:51:41.060028,6867
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:52:41.034012,6868
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:53:41.041016,6978
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:54:41.032028,6804
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:55:41.054001,7232
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:56:41.04303,6915
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:57:41.05101,7041
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:58:41.041016,6930
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 19:59:41.032028,6868
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:00:41.054001,6253
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:01:41.060028,6237
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:02:41.035003,6710
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:03:41.057022,6536
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:04:41.048004,5967
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:05:41.054001,6032
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:06:41.045028,6048
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:07:41.054001,5669
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:08:41.044022,5984
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:09:41.050003,6316
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:10:41.042023,6190
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:11:41.048004,6284
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:12:41.054001,6206
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:13:41.06102,5926
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:14:41.050003,6367
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:15:41.058029,6304
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:16:41.033005,5972
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:17:41.057022,6052
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:18:41.063004,5863
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:19:41.037002,6321
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:20:41.044022,6526
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:21:41.050003,6777
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:22:41.040008,6541
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:23:41.048004,6266
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:24:41.037002,6627
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:25:41.059021,6407
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:26:41.035003,6264
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:27:41.059021,6564
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:28:41.050003,6296
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:29:41.039001,5885
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:30:41.031021,5823
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:31:41.053009,6297
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:32:41.044022,6216
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:33:41.034012,6363
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:34:41.041016,6223
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:35:41.047028,5923
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:36:41.03801,6696
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:37:41.060028,6191
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:38:41.036011,5764
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:39:41.041016,5906
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:40:41.047028,5891
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:41:41.055008,6159
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:42:41.045028,6127
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:43:41.05101,5954
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:44:41.058029,5825
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:45:41.032028,6583
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:46:41.055008,5937
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:47:41.032028,5937
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:48:41.03801,6236
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:49:41.060028,6362
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:50:41.05101,6047
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:51:41.041016,6236
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:52:41.032028,6440
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:53:41.054001,6473
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:54:41.060028,6585
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:55:41.05101,6112
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:56:41.042023,6443
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:57:41.049011,6569
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Pepco Campus Import,2018-12-06 20:58:41.055008,6664
