Data Source,Time,Value
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:23:48,29078
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:24:48,29030
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:25:48,28886
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:26:48,29361
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:27:48,29091
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:28:48,28997
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:29:48,28997
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:30:48,28933
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:31:05,28933
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:31:48,29061
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:32:48,29091
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:33:48,29123
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:34:48,29234
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:35:48,29044
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:36:48,29044
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:37:48,29233
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:38:48,28964
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:39:48,28950
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:40:48,28777
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:41:05,28777
