Data Source,Time,Value
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:41:48,29122
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:42:48,29042
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:43:48,28995
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:44:48,29172
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:45:48,29297
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:46:48,29108
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:47:48,29219
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:48:48,29205
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:50:48,29077
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:51:05,29077
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:51:48,29141
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:52:48,29156
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:53:48,29094
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:54:48,29234
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:55:48,29169
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:56:48,29013
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:58:48,29013
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 15:59:48,29011
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:00:48,28997
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:01:05,28997
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:01:48,28883
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:02:48,28981
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:03:48,28980
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:04:48,29217
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:05:48,28934
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:06:48,28902
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:07:48,29045
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:08:48,28964
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:09:48,29092
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:10:48,28919
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:11:05,28919
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:11:48,29155
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:12:48,29172
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:13:48,29314
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:14:48,29473
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:15:48,29440
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:16:48,29267
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:17:48,29314
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:18:48,29425
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:19:48,29347
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:20:48,29284
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:21:05,29284
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:21:48,29142
\\FMGTAP012\UMD EEM Database\L01 - UMCP|Total Electrical Generation,2019-12-06 16:22:48,29220
