date,value,flag
Fri Jun 01 2018 05:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 05:30:00 GMT-0400 (Eastern Daylight Time),623,
Fri Jun 01 2018 05:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 05:45:00 GMT-0400 (Eastern Daylight Time),400,
Fri Jun 01 2018 05:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 06:00:00 GMT-0400 (Eastern Daylight Time),383,
Fri Jun 01 2018 06:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 06:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 06:15:00 GMT-0400 (Eastern Daylight Time),133,
Fri Jun 01 2018 06:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 06:30:00 GMT-0400 (Eastern Daylight Time),685,
Fri Jun 01 2018 06:45:00 GMT-0400 (Eastern Daylight Time),304,
Fri Jun 01 2018 06:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 07:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 07:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 07:15:00 GMT-0400 (Eastern Daylight Time),1017,
Fri Jun 01 2018 07:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 07:30:00 GMT-0400 (Eastern Daylight Time),139,
Fri Jun 01 2018 07:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 07:45:00 GMT-0400 (Eastern Daylight Time),817,
Fri Jun 01 2018 07:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 08:00:00 GMT-0400 (Eastern Daylight Time),458,
Fri Jun 01 2018 08:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 08:15:00 GMT-0400 (Eastern Daylight Time),286,
Fri Jun 01 2018 08:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 08:30:00 GMT-0400 (Eastern Daylight Time),478,
Fri Jun 01 2018 08:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 08:45:00 GMT-0400 (Eastern Daylight Time),584,
Fri Jun 01 2018 08:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 09:00:00 GMT-0400 (Eastern Daylight Time),156,
Fri Jun 01 2018 09:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 09:15:00 GMT-0400 (Eastern Daylight Time),697,
